2024-06-09 22:06:33 startup archives unpack
2024-06-09 22:06:34 upgrade bluez-firmware:all 1.2-3+rpt4.1 1.2-3+rpt7
2024-06-09 22:06:34 status half-configured bluez-firmware:all 1.2-3+rpt4.1
2024-06-09 22:06:34 status unpacked bluez-firmware:all 1.2-3+rpt4.1
2024-06-09 22:06:34 status half-installed bluez-firmware:all 1.2-3+rpt4.1
2024-06-09 22:06:34 status half-installed bluez-firmware:all 1.2-3+rpt4.1
2024-06-09 22:06:34 status unpacked bluez-firmware:all 1.2-3+rpt7
2024-06-09 22:06:34 status unpacked bluez-firmware:all 1.2-3+rpt7
2024-06-09 22:06:34 upgrade dhcpcd5:armhf 1:6.11.5-1+rpt4 1:6.11.5-1+rpt7
2024-06-09 22:06:34 status half-configured dhcpcd5:armhf 1:6.11.5-1+rpt4
2024-06-09 22:06:34 status unpacked dhcpcd5:armhf 1:6.11.5-1+rpt4
2024-06-09 22:06:34 status half-installed dhcpcd5:armhf 1:6.11.5-1+rpt4
2024-06-09 22:06:34 status triggers-pending systemd:armhf 232-25+deb9u2
2024-06-09 22:06:35 status triggers-pending man-db:armhf 2.7.6.1-2
2024-06-09 22:06:35 status half-installed dhcpcd5:armhf 1:6.11.5-1+rpt4
2024-06-09 22:06:35 status unpacked dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:06:35 status unpacked dhcpcd5:armhf 1:6.11.5-1+rpt7
2024-06-09 22:06:38 upgrade firmware-atheros:all 1:20161130-3+rpt3 1:20161130-3+rpt4
2024-06-09 22:06:38 status half-configured firmware-atheros:all 1:20161130-3+rpt3
2024-06-09 22:06:38 status unpacked firmware-atheros:all 1:20161130-3+rpt3
2024-06-09 22:06:38 status half-installed firmware-atheros:all 1:20161130-3+rpt3
2024-06-09 22:06:50 status half-installed firmware-atheros:all 1:20161130-3+rpt3
2024-06-09 22:06:50 status unpacked firmware-atheros:all 1:20161130-3+rpt4
2024-06-09 22:06:50 status unpacked firmware-atheros:all 1:20161130-3+rpt4
2024-06-09 22:06:51 upgrade firmware-brcm80211:all 1:20161130-3+rpt3 1:20161130-3+rpt4
2024-06-09 22:06:51 status half-configured firmware-brcm80211:all 1:20161130-3+rpt3
2024-06-09 22:06:51 status unpacked firmware-brcm80211:all 1:20161130-3+rpt3
2024-06-09 22:06:51 status half-installed firmware-brcm80211:all 1:20161130-3+rpt3
2024-06-09 22:06:56 status half-installed firmware-brcm80211:all 1:20161130-3+rpt3
2024-06-09 22:06:58 status unpacked firmware-brcm80211:all 1:20161130-3+rpt4
2024-06-09 22:06:58 status unpacked firmware-brcm80211:all 1:20161130-3+rpt4
2024-06-09 22:06:58 upgrade firmware-libertas:all 1:20161130-3+rpt3 1:20161130-3+rpt4
2024-06-09 22:06:58 status half-configured firmware-libertas:all 1:20161130-3+rpt3
2024-06-09 22:06:58 status unpacked firmware-libertas:all 1:20161130-3+rpt3
2024-06-09 22:06:58 status half-installed firmware-libertas:all 1:20161130-3+rpt3
2024-06-09 22:07:03 status half-installed firmware-libertas:all 1:20161130-3+rpt3
2024-06-09 22:07:04 status unpacked firmware-libertas:all 1:20161130-3+rpt4
2024-06-09 22:07:04 status unpacked firmware-libertas:all 1:20161130-3+rpt4
2024-06-09 22:07:04 upgrade firmware-misc-nonfree:all 1:20161130-3+rpt3 1:20161130-3+rpt4
2024-06-09 22:07:04 status half-configured firmware-misc-nonfree:all 1:20161130-3+rpt3
2024-06-09 22:07:04 status unpacked firmware-misc-nonfree:all 1:20161130-3+rpt3
2024-06-09 22:07:04 status half-installed firmware-misc-nonfree:all 1:20161130-3+rpt3
2024-06-09 22:07:08 status half-installed firmware-misc-nonfree:all 1:20161130-3+rpt3
2024-06-09 22:07:11 status unpacked firmware-misc-nonfree:all 1:20161130-3+rpt4
2024-06-09 22:07:11 status unpacked firmware-misc-nonfree:all 1:20161130-3+rpt4
2024-06-09 22:07:11 upgrade firmware-realtek:all 1:20161130-3+rpt3 1:20161130-3+rpt4
2024-06-09 22:07:11 status half-configured firmware-realtek:all 1:20161130-3+rpt3
2024-06-09 22:07:12 status unpacked firmware-realtek:all 1:20161130-3+rpt3
2024-06-09 22:07:12 status half-installed firmware-realtek:all 1:20161130-3+rpt3
2024-06-09 22:07:12 status half-installed firmware-realtek:all 1:20161130-3+rpt3
2024-06-09 22:07:12 status unpacked firmware-realtek:all 1:20161130-3+rpt4
2024-06-09 22:07:12 status unpacked firmware-realtek:all 1:20161130-3+rpt4
2024-06-09 22:07:13 upgrade libasound2:armhf 1.1.3-5+rpi3 1.1.3-5+rpt4
2024-06-09 22:07:13 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2024-06-09 22:07:13 status half-configured libasound2:armhf 1.1.3-5+rpi3
2024-06-09 22:07:13 status unpacked libasound2:armhf 1.1.3-5+rpi3
2024-06-09 22:07:13 status half-installed libasound2:armhf 1.1.3-5+rpi3
2024-06-09 22:07:14 status half-installed libasound2:armhf 1.1.3-5+rpi3
